AC001	ｽﾗｲﾑｲﾔﾘﾝｸﾞ
IPHAT080	ﾋﾟｴﾛの帽子
IPHAT090	飛行帽
IPHAT100	日輪の兜
IPHAT110	ｼﾙｸﾊｯﾄ
IPHAT120	天蓋
IPHAT130	三度笠
IPHAT140	ｼｬﾝﾌﾟｰﾊｯﾄ
IPHAT150	ﾌﾞﾚｲﾝｲﾝﾀｰﾌｪｲｽ
IPHAT160	ﾊﾟﾝﾌﾟｷﾝﾏｽｸ
IPHAT170	お化け帽子
IPHAT180	精霊の冠
IPMT001	ﾋｰﾛｰﾏﾝﾄ
IPMT020	ﾊﾛｳｨﾝﾏﾝﾄ
IPNF010	ﾅｲﾌ
IPNF020	ﾀﾞｶﾞｰ
IPSP010	ﾌﾗﾝｿﾜのﾊﾟﾗｿﾙ
IPSTF010	魔道修練杖
IPSTF020	妖精の杖
IPSTF030	祝福の杖
IPSTF040	邪神の杖
IPSTF050	賢者の杖
IPSTF060	魔神の杖
IPSTF070	波動の杖
IPSTF080	閻魔天笏
IPSTF090	電脳ﾄﾗﾝｼﾞｽﾀ
IPSTF100	星皇の杖
IPSTF110	万能杖
IPSW000	ﾚﾌﾟﾘｶｿｰﾄﾞ
IPSW010	ｼｮｰﾄｿｰﾄﾞ
IPSW020	ﾌﾞﾛﾝｽﾞｿｰﾄﾞ
IPSW030	ﾃﾞｨﾌｪﾝﾀﾞｰ
IPSW040	錆びた剣
LB010	陰陽師狩衣
MAM010	ｸﾛｰｽｱｰﾏｰ
MAM020	ﾚｻﾞｰｱｰﾏｰ
MAM025	ﾄﾛﾋﾟｶﾙｼﾞｬｹｯﾄ
MAM030	ﾊﾞﾄﾙｼﾞｬｹｯﾄ
MAM035	ﾌｨｰﾙﾄﾞｱｰﾏｰ
MAM040	ﾁｪｲﾝｱｰﾏｰ
MAM050	ｽｹｲﾙｱｰﾏｰ
MAM060	ﾁｪｽﾄﾌﾟﾚｰﾄ
MAM070	ﾌﾟﾚｰﾄｱｰﾏｰ
MAM080	ﾐｽﾘﾙｱｰﾏｰ
MAM081	ﾊｲﾐｽﾘﾙｱｰﾏｰ
MAM090	ﾅｲﾄｱｰﾏｰ
MAM100	ｴﾚﾒﾝﾀﾙｱｰﾏｰ
MAM110	ﾎｰﾘｰｱｰﾏｰ
MAM120	ﾃｨﾀｰﾝｱｰﾏｰ
MAM125	ｼｬｲﾆﾝｸﾞｱｰﾏｰ
MAM130	ｶｲｻﾞｰｱｰﾏｰ
MAM140	ｱｰｽｱｰﾏｰ
MAM145	超魔導ｱｰﾏｰ
MAM150	ｲｰｼﾞｽｱｰﾏｰ
MAM155	戦国甲冑
MAM156	ｸﾞﾗﾋﾞﾄﾝｱｰﾏｰ
MAM160	ﾄﾞﾗｺﾞﾝｱｰﾏｰ
MAM170	ｵﾘﾊﾙｺﾝｱｰﾏｰ
MAM180	ﾄﾞﾗｺﾞﾝｱｰﾏｰ改
MAM190	ｾﾞｳｽｱｰﾏｰ
MAM200	ｵｰﾃﾞｨﾝｱｰﾏｰ
MAM210	ｴﾙﾄﾞﾗﾄﾞｱｰﾏｰ
MAM220	ｲﾌﾟｼﾛﾝｱｰﾏｰ
MAM230	ｱﾙﾋﾞｵﾝｱｰﾏｰ
MAO000	MAOｽﾍﾟｼｬﾙｽｰﾂ
MAO010	MAOｽﾍﾟｼｬﾙｿｰﾄﾞ
MAO020	MAOｽﾍﾟｼｬﾙﾌﾞﾚｰﾄﾞ
MAO030	MAOｽﾍﾟｼｬﾙｽﾀｯﾌ
MAO040	MAOｽﾍﾟｼｬﾙﾅｲﾌ
MAO050	MAOｽﾍﾟｼｬﾙﾀﾞｰﾂ
MAO910	MAOﾍﾟﾝﾀﾞﾝﾄ
MAO920	親方のﾊﾝﾏｰ
MAO930	特別優待券
MAO940	賢者の眼鏡
MAO950	透明ﾏﾝﾄ
MED005	HP回復薬50
MED010	HP回復薬100
MED020	MP回復薬50
MED030	HP回復薬250
MED040	MP回復薬150
MED050	HP回復薬500
MED060	MP回復薬300
MED070	HP回復薬1000
MED080	MP回復薬600
MED090	HP回復薬2000
MED110	精霊の秘薬
MED120	治療薬
MED130	癒しの水
MED140	ﾐｯｸｽｼﾞｬｰｷｰ
MED150	解毒剤
MED160	ﾏﾋ回復剤
MED170	聖水
MED180	ﾏﾅｾﾞﾘｰ
MED190	ﾌﾟﾛﾃｲﾝ
MED200	ﾊｲﾊﾟｰﾌﾟﾛﾃｲﾝ
MED210	特製精力薬
MED230	ｱﾝﾅの特製弁当
MED300	増強薬
MED310	魔薬
MED320	超強薬
MED330	超魔薬
MED340	MAXﾌﾟﾛﾃｲﾝ
MED350	ﾌｶﾋﾚｽｰﾌﾟ
MED360	ﾏﾝｺﾞｰｼﾞｭｰｽ
MED370	覚醒薬
MED380	ｱﾙﾃﾏﾌﾟﾛﾃｲﾝ
MED385	ﾗｽﾄﾌﾟﾛﾃｲﾝ
MED390	超魔導活性剤
MED910	ﾊｰﾄﾁｮｺ(S)
MED920	ﾊｰﾄﾁｮｺ(M)
MED930	ﾊｰﾄﾁｮｺ(L)
MED980	結界の秘薬
MED990	黄泉還りの薬
MLB010	古びたﾛｰﾌﾞ
MLB015	修道士の服
MLB020	ｸﾛｽﾛｰﾌﾞ
MLB030	魔道士のﾛｰﾌﾞ
MLB040	ﾏｼﾞｯｸﾛｰﾌﾞ
MLB050	ﾐｽﾘﾙﾛｰﾌﾞ
MLB055	ﾊｲﾐｽﾘﾙﾛｰﾌﾞ
MLB060	ｳｨｻﾞｰﾄﾞﾛｰﾌﾞ
MLB070	ｴﾚﾒﾝﾀﾙﾛｰﾌﾞ
MLB080	ﾐｽﾃｨｯｸﾛｰﾌﾞ
MLB090	ｴﾝｼｪﾝﾄﾛｰﾌﾞ
MLB100	ﾙｰﾝｸﾛｽ
MLB110	ｵﾘｴﾝﾄｸﾛｽ
MLB120	ｴﾀｰﾅﾙｸﾛｽ
MLB130	ﾃﾞｨｳﾞｧｲﾝﾛｰﾌﾞ
MLB140	ﾌｧﾗﾝｸｽﾛｰﾌﾞ
MLB150	ﾃﾞｨﾒﾝﾄｸﾛｽ
MLB160	ｲﾃﾞｱｸﾛｽ
MLB170	ｱﾙﾌｧﾙﾄﾞｸﾛｽ
MLB180	ﾌｪﾙｶﾄﾞｸﾛｽ
MT010	旅人のﾏﾝﾄ
MT020	冒険者のﾏﾝﾄ
MT030	精霊のﾏﾝﾄ
MT040	光のﾏﾝﾄ
MT050	闇のﾏﾝﾄ
MT060	真紅のﾏﾝﾄ
MT070	魔法のﾏﾝﾄ
MT080	守護のﾏﾝﾄ
MT085	ﾐﾝｸのｺｰﾄ
MT090	ｵｰﾛﾗのﾏﾝﾄ
MT100	羅紗のﾏﾝﾄ
MT110	ｼﾙｸのﾏﾝﾄ
MT120	ｺｳﾓﾘのﾏﾝﾄ
MT130	道化のﾏﾝﾄ
MT140	雪の羽衣
MT150	天使のはね
MT155	黒天使の羽
MT157	堕天使の羽
MT160	白竜のﾏﾝﾄ
MT165	ｼﾞｪｯﾄﾌﾞｰｽﾀｰ
MT170	覇者のﾏﾝﾄ
MT175	黒耀のﾏﾝﾄ
MT180	陣羽織
MT185	虹のﾏﾝﾄ
MT190	暁のﾏﾝﾄ
MT200	玉皇のﾏﾝﾄ
MT210	黄泉のﾏﾝﾄ
MT220	深淵のﾏﾝﾄ
MT230	神翼のﾏﾝﾄ
MT240	神魔のﾏﾝﾄ
MT250	ﾊﾙﾋﾟｭｲｱの羽
MT260	獣王のﾏﾝﾄ
MT270	英霊のﾏﾝﾄ
NET010	捕獲用ﾈｯﾄ
NET020	捕獲用ﾈｯﾄ(ｴｻ付)
NF005	ﾌﾙｰﾂﾅｲﾌ
NF010	ﾊﾞﾄﾙﾅｲﾌ
NF020	ﾌﾟｯｼｭﾀﾞｶﾞｰ
NF030	ｻﾊﾞｲﾊﾞﾙﾅｲﾌ
NF040	ﾐｽﾘﾙﾅｲﾌ
NF045	ﾊｲﾐｽﾘﾙﾅｲﾌ
NF050	ｴﾚﾒﾝﾀﾙﾅｲﾌ
NF060	ｸﾘｽﾀﾙﾅｲﾌ
NF065	ｶｯﾀｰﾅｲﾌ
NF070	ｽﾃｨﾝｶﾞｰ
NF080	ｽﾗｲｻｰ
NF090	ﾘｯﾊﾟｰﾅｲﾌ
NF095	ｿｰﾄﾞﾌﾞﾚｲｶｰ
NF096	ｽﾃｨﾚｯﾄ
NF100	ｸｸﾘ
NF101	ｱｳｨｽﾅｲﾌ
NF110	ﾃﾞｽﾌﾞﾘﾝｶﾞｰ
NF111	ｲﾝｸﾙｼｵ
NF115	ﾒｽ
NF116	苦無
NF120	ﾄﾞﾗｺﾞﾝﾄｩｰｽ
NF121	ｼﾞｬﾝﾋﾞｱ
NF130	ｱﾀﾞﾏﾝｸﾘｽ
NF140	ﾍﾋﾞｰﾒﾀﾙﾅｲﾌ
NF145	ｱｽﾃｶﾅｲﾌ
NF150	ｳﾞｧｼﾞｭﾗ
NF160	ﾄﾞﾗｺﾞﾝﾄｩｰｽ改
NF170	ﾒﾙｸﾘｳｽ
NF180	地獄の爪
NF190	ﾋｭﾉﾌﾟｽ
NF200	煉獄の爪
NF210	ﾚｰｻﾞｰﾒｽ
NF220	ｱﾙｸﾄｩﾙｽ
NF230	冥府の爪
NF240	ﾈﾌｨﾘﾑ
NF250	涅槃の爪
NF300	MAOﾅｲﾌ
NF310	MAOﾄｩｰｽ
PT010	ﾌﾟﾗﾁﾅｼｭｰｽﾞ
PT020	ﾌﾟﾗﾁﾅｲﾔﾘﾝｸﾞ
PT030	ﾌﾟﾗﾁﾅｽﾀｰ
PT040	ﾌﾟﾗﾁﾅﾗｯｷｰｼｭｰｽﾞ
PT050	ﾌﾟﾗﾁﾅﾗｯｷｰｲﾔﾘﾝｸﾞ
PT060	ﾌﾟﾗﾁﾅﾗｯｷｰｽﾀｰ
RNG010	幸運の御守
RNG020	ﾙﾋﾞｰの指輪
RNG030	ｱﾒｼﾞｽﾄの指輪
RNG040	ｻﾌｧｲｱの指輪
RNG050	虹の宝玉
RNG060	ﾀﾞｲﾔの指輪
RNG070	炎のｵｰﾌﾞ
RNG080	水のｵｰﾌﾞ
RNG090	風のｵｰﾌﾞ
RNG100	星の貝殻
RNG110	ﾌﾞﾗｯｸﾊﾟｰﾙ
RNG120	ﾌﾞﾗｯｸﾀﾞｲﾔ
RNG130	ﾏﾛﾝの首輪
RNG140	ﾚｲﾝﾎﾞｰｸﾘｽﾀﾙ
RNG150	ﾏｶﾞﾀﾏ
RNG210	ｼﾙﾌの指輪
RNG220	ｼﾞﾝの指輪
RNG230	風神の指輪
RNG240	十字架
RNG300	天使のｱﾐｭﾚｯﾄ
RNG310	英雄のｱﾐｭﾚｯﾄ
RNG320	聖者のｱﾐｭﾚｯﾄ
RNG330	妖精のｱﾐｭﾚｯﾄ
RNG340	四聖のｱﾐｭﾚｯﾄ
RNG350	魔力の指輪
RNG360	ﾃﾝﾍﾟｽﾄの指輪
RNG365	ﾕﾋﾟﾃﾙの指輪
RNG370	牙の飾り
RNG380	枯渇の指輪
RNG385	ﾃﾞﾋﾞﾙﾘﾝｸﾞ
RNG390	羽の飾り
RNG400	不思議なｱﾝｸﾚｯﾄ
RNG405	不思議なﾌﾞﾚｽﾚｯﾄ
RNG410	不思議なﾍﾟﾝﾀﾞﾝﾄ
RNG415	不思議なﾋﾟｱｽ
RNG710	ﾄﾞﾗｺﾞﾝｵｰﾌﾞ(赤)
RNG720	ﾄﾞﾗｺﾞﾝｵｰﾌﾞ(青)
RNG730	ﾄﾞﾗｺﾞﾝｵｰﾌﾞ(緑)
RNG740	ﾄﾞﾗｺﾞﾝｵｰﾌﾞ(紫)
RNG750	ﾄﾞﾗｺﾞﾝｵｰﾌﾞ(白)
RNG760	ﾒﾀﾙｵｰﾌﾞ
RNG770	ﾏｽﾀｰｵｰﾌﾞ
RNG780	ﾄﾞﾗｺﾞﾝｵｰﾌﾞ(虹)
RNG790	ｱﾋﾞｽｵｰﾌﾞ
RNG800	ｺﾞｯﾄﾞｵｰﾌﾞ
RNG910	奇跡の指輪
RNG920	結界の指輪
ROD010	ﾒｲｽ
ROD020	ﾓｰﾆﾝｸﾞｽﾀｰ
ROD030	ﾎｰﾘｰﾒｲｽ
ROD040	ｸﾞﾗﾝﾄﾞﾒｲｽ
ROD050	ｺﾞｯﾄﾞﾒｲｽ
ROD055	金剛杖
SH010	ｳｯﾄﾞｼｰﾙﾄﾞ
SH011	ｺｰﾗﾙｼｰﾙﾄﾞ
SH012	ﾊｰﾄﾞｳｯﾄﾞｼｰﾙﾄﾞ
SH013	鋼鉄ｼｰﾙﾄﾞ
SH014	ﾗｽﾀｰｼｰﾙﾄﾞ
SH015	鍋蓋
SH020	ﾗｰｼﾞｼｰﾙﾄﾞ
SH030	ﾊﾞﾄﾙｼｰﾙﾄﾞ
SH040	ｶｲﾄｼｰﾙﾄﾞ
SH045	ｽﾁｰﾙﾊﾞｯｸﾗｰ
SH050	ﾐｽﾘﾙｼｰﾙﾄﾞ
SH055	ﾊｲﾐｽﾘﾙｼｰﾙﾄﾞ
SH060	ﾅｲﾄｼｰﾙﾄﾞ
SH065	ﾐﾗｰｼｰﾙﾄﾞ
SH070	ｴﾚﾒﾝﾀﾙｼｰﾙﾄﾞ
SH071	ｽﾍﾟｸﾄﾙｼｰﾙﾄﾞ
SH072	ｲﾝﾊﾟｸﾄｶﾞｰﾄﾞ
SH080	ﾀﾞｰｸｼｰﾙﾄﾞ
SH090	ｴｸｽｼｰﾙﾄﾞ
SH100	ｶｲｻﾞｰｼｰﾙﾄﾞ
SH110	ｶﾞｲｱの盾
SH120	ｱｲｱｽの盾
SH125	ｱﾀﾞｰｶﾞ
SH127	ﾀﾜｰｼｰﾙﾄﾞ
SH128	ﾌﾟﾘﾄｳｪﾝ
SH130	ﾄﾞﾗｺﾞﾝｼｰﾙﾄﾞ
SH140	ﾒﾋﾞｳｽの盾
SH150	ﾄﾞﾗｺﾞﾝｼｰﾙﾄﾞ改
SH160	ﾔﾀﾉｶｶﾞﾐ
SH170	ｱﾎﾟﾛﾝの盾
SH180	ｱﾄﾗｽの盾
SH190	ｳﾞｧﾙﾊﾗの盾
SH200	電磁ｼｰﾙﾄﾞ
SH210	ｼﾘｳｽの盾
SH220	ﾎﾟﾗﾘｽの盾
SH230	ｼｰﾙﾄﾞｳｪﾎﾟﾝ
SP010	竹槍
SP020	ﾌﾞﾛﾝｽﾞｽﾋﾟｱ
SP025	素槍
SP030	ﾐｽﾘﾙｽﾋﾟｱ
SP035	ﾊｲﾐｽﾘﾙｽﾋﾟｱ
SP040	ﾊﾟｲｸ
SP050	ﾊﾙﾊﾞｰﾄﾞ
SP060	ﾄﾗｲﾃﾞﾝﾄ
SP070	ﾃﾞﾓﾝｽﾋﾟｱ
SP090	ﾌﾞﾘｭｰﾅｸ
SP091	ﾌｫｼｬｰﾙ
SP100	ｸﾞﾝｸﾞﾆﾙ
SP101	ﾊﾞﾙﾃﾞｨｯｼｭ
SP105	ﾛﾝｺﾞﾐｱﾝﾄ
SP110	ﾄﾞﾗｺﾞﾝﾗﾝｽ
SP115	朱槍
SP118	ｸﾞﾗｼｰｻﾞ
SP120	ｹﾞｲﾎﾞﾙｸﾞ
SP125	千代乃槍
SP130	ﾛﾝｷﾞﾇｽの槍
SP140	ｱﾄﾗﾝﾃｨｽ
SP150	如意棒
SP160	ﾄﾞﾗｺﾞﾝﾗﾝｽ改
SP170	ﾃｨﾙﾅﾉｸﾞ
SP180	ﾆｳﾞﾙﾍｲﾑ
SP190	ﾚｸﾞﾙｽ
SP200	ﾛｰﾚﾗｲ
SP300	MAOｽﾋﾟｱ
STF010	古木の杖
STF020	ｳｯﾄﾞｽﾀｯﾌ
STF030	ﾒｲｼﾞｽﾀｯﾌ
STF040	ﾐｽﾘﾙｽﾀｯﾌ
STF045	ﾊｲﾐｽﾘﾙｽﾀｯﾌ
STF050	ｳｨｻﾞｰﾄﾞｽﾀｯﾌ
STF060	ｴﾚﾒﾝﾀﾙｽﾀｯﾌ
STF065	魔法のほうき
STF070	ｴﾝｼｪﾝﾄｽﾀｯﾌ
STF080	ﾙｰﾝｽﾀｯﾌ
STF090	ｱｰｸｽﾀｯﾌ
STF100	ｸﾚｯｾﾝﾄ
STF101	ｳｪﾙﾃｸｽﾀｯﾌ
STF110	ｶﾃﾞｭｹｳｽ
STF111	ﾚｷﾞｰﾅｽﾀｯﾌ
STF115	ﾐﾗｸﾙｽﾃｯｷ
STF116	錫杖
STF120	ﾄﾞﾗｺﾞﾝﾛｯﾄﾞ
STF125	ｵﾙﾄｩｽﾛｯﾄﾞ
STF130	ﾚｼﾞｪﾝﾄﾞｽﾀｯﾌ
STF140	ｱｽｸﾚﾋﾟｵｽ
STF150	ｱﾄﾐｯｸｽﾀｯﾌ
STF155	ｱｽﾃｶﾛｯﾄﾞ
STF160	ﾙｲﾝﾛｯﾄﾞ
STF170	世界樹の杖
STF180	ﾄﾞﾗｺﾞﾝﾛｯﾄﾞ改
STF190	ﾍｳﾚｶﾛｯﾄﾞ
STF200	黙示録の杖
STF210	ｵﾍﾞﾛﾝﾛｯﾄﾞ
STF220	森羅万象の杖
STF230	ｸｴｰｻｰﾛｯﾄﾞ
STF240	万物創世の杖
STF250	ﾌﾗｸﾀﾙﾛｯﾄﾞ
STF260	ｶﾀｽﾄﾛﾌｨｰ
STF300	MAOﾛｯﾄﾞ
STF310	MAOｽﾀｯﾌ
SW010	ﾛﾝｸﾞｿｰﾄﾞ
SW020	ｼﾐﾀｰ
SW030	ｸﾛｽｿｰﾄﾞ
SW040	ﾐｽﾘﾙｿｰﾄﾞ
SW045	ﾊｲﾐｽﾘﾙｿｰﾄﾞ
SW050	ﾌﾞﾗｯﾄﾞｿｰﾄﾞ
SW060	ｴﾚﾒﾝﾀﾙｿｰﾄﾞ
SW065	なた
SW070	ｴｽｶｰｿｰﾄﾞ
SW080	ﾙｰﾝｿｰﾄﾞ
SW085	ｼｬｲﾆﾝｸﾞｿｰﾄﾞ
SW090	ｼﾞｬｽﾃｨｽｿｰﾄﾞ
SW091	ｱｽﾄﾗﾙｿｰﾄﾞ
SW092	ｲﾝﾍﾟﾄｩｽ
SW095	ｴﾋﾞﾙｽﾚｲﾔｰ
SW096	ｽｸﾗﾏｻｸｽ
SW098	ｳﾞｧﾝﾊﾟｲｱｿｰﾄﾞ
SW100	ﾊﾞﾙﾑﾝｸ
SW101	ｵｰﾄｸﾚｰﾙ
SW105	ﾏｸﾞﾛ包丁
SW110	ﾄﾞﾗｺﾞﾝｽﾚｲﾔｰ
SW111	ﾃﾞｭﾗﾝﾀﾞﾙ
SW112	ｼﾞｭﾗﾕｰｽ
SW115	ｸｻﾅｷﾞの剣
SW120	ｱｽｶﾛﾝ
SW130	ｴｸｽｶﾘﾊﾞｰ
SW140	ﾀﾞｲﾝｽﾚｲﾌ
SW150	ｿﾞﾛｱｰﾌﾞﾚｰﾄﾞ
SW160	ﾋｭﾍﾞﾘｵﾝ
SW170	ｶﾞﾘｱﾝｿｰﾄﾞ
SW180	明王剣
SW190	ﾄﾞﾗｺﾞﾝｽﾚｲﾔｰ改
SW200	七星剣
SW210	ﾗｸﾞﾅﾚｸ
SW220	ﾀﾞﾓｸﾚｽ
SW230	ﾋﾞｰﾑｻｰﾍﾞﾙ
SW240	ﾌﾟﾛｷｵﾝ
SW250	ｱｰｸﾄｩﾙｽ
SW300	MAOｿｰﾄﾞ
SWW010	ﾌﾞﾛｰﾄﾞｿｰﾄﾞ
SWW020	ｸﾞﾚｰﾄｿｰﾄﾞ
SWW030	ｸﾚｲﾓｱ
SWW040	ﾊﾞｽﾀｰｿｰﾄﾞ
SWW045	竹刀
SWW050	ﾑﾗﾏｻﾌﾞﾚｰﾄﾞ
SWW060	ﾂｳﾞｧｲﾊﾝﾀﾞｰ
SWW065	ﾋﾞｰｽﾄﾌﾞﾚｰﾄﾞ
SWW068	ﾚｰｳﾞｧﾃｲﾝ
SWW069	ﾛﾝﾊﾟｲｱ
SWW070	ｸﾞﾗﾑ
SWW071	ｸﾗｳｿﾅﾙ
SWW072	ﾊﾞﾙﾏﾝｳｪ
SWW075	ﾁｪｰﾝｿｰ
SWW079	ｱﾛﾝﾀﾞｲﾄ
SWW080	ﾄﾞﾗｺﾞﾝﾊﾞｽﾀｰ
SWW081	正宗
SWW082	虎徹
SWW083	陸奥守吉行
SWW084	菊一文字
SWW085	村正
SWW086	菊正宗虎行
SWW090	ｸﾞﾗﾃﾞｨｳｽ
SWW091	ﾌﾗﾝﾍﾞﾙｸﾞ
SWW095	ﾌﾞﾙﾄﾞｶﾞﾝｸﾞ
SWW100	ﾌﾞﾘｭﾝﾋﾙ
SWW105	殺生菊水丸
SWW110	ﾃｨﾙｳﾞｨﾝｸﾞ
SWW120	ﾌｫﾄﾝﾊﾞｽﾀｰ
SWW130	ｴﾘｭｼｵﾝ
SWW140	鉄巨人の剣
SWW150	ﾄﾞﾗｺﾞﾝﾊﾞｽﾀｰ改
SWW160	ｱｳﾞｧﾄﾞﾝ
SWW170	七支刀
SWW180	鬼切
SWW190	ｱﾙﾏｹﾞﾄﾞﾝ
SWW200	ﾍﾞﾃﾙｷﾞｳｽ
SWW210	ｾﾞﾉﾝ
SWW300	MAOﾌﾞﾚｰﾄﾞ
SWW67	ｸﾞﾗﾝﾄﾞｸﾚｲﾓｱ
test00001	test
TR010	投げﾅｲﾌ
TR020	吹き矢
TR030	火薬玉
TR040	手裏剣
TR050	ﾀﾞｰﾂ
TR060	炸裂弾
TR070	ﾁｬｸﾗﾑ
TR080	ｼﾙﾊﾞｰﾀﾞｰﾂ
TR090	爆裂弾
TR100	針千本
TR120	ﾘﾝｺﾞ爆弾
TR140	風魔手裏剣
TR150	鋲
TR160	雷玉
TR170	ﾄﾞﾗｺﾞﾝﾀﾞｰﾂ
TR180	魔弾
TR190	ﾌﾟﾗｽﾞﾏ弾
TR200	ｴﾙﾌの矢
TR210	弐千本桜
TR610	ﾄﾗﾝﾌﾟｾｯﾄ
TR620	ﾄﾗﾝﾌﾟｾｯﾄJoker
TR777	ﾗｯｷｰﾀﾞｰﾂ大当り
UG010	攻撃強化ｽｸﾛｰﾙ50(剣)
UG011	攻撃強化ｽｸﾛｰﾙ50(槍)
UG012	攻撃強化ｽｸﾛｰﾙ50(ﾅｲﾌ)
UG013	攻撃強化ｽｸﾛｰﾙ50(鈍器)
UG014	攻撃強化ｽｸﾛｰﾙ50(杖)
UG015	攻撃強化ｽｸﾛｰﾙ50(斧)
UG016	攻撃強化ｽｸﾛｰﾙ50(手袋)
UG020	魔法攻撃強化ｽｸﾛｰﾙ50(杖)
UG021	魔法攻撃強化ｽｸﾛｰﾙ50(鈍器)
UG022	魔法攻撃強化ｽｸﾛｰﾙ50(手袋)
UG030	防御強化ｽｸﾛｰﾙ50(体)
UG031	防御強化ｽｸﾛｰﾙ50(盾)
UG032	防御強化ｽｸﾛｰﾙ50(頭)
UG033	防御強化ｽｸﾛｰﾙ50(ﾏﾝﾄ)
UG034	防御強化ｽｸﾛｰﾙ50(手袋)
UG035	防御強化ｽｸﾛｰﾙ50(靴)
UG040	魔法防御強化ｽｸﾛｰﾙ50(体)
UG041	魔法防御強化ｽｸﾛｰﾙ50(盾)
UG042	魔法防御強化ｽｸﾛｰﾙ50(頭)
UG043	魔法防御強化ｽｸﾛｰﾙ50(ﾏﾝﾄ)
UG044	魔法防御強化ｽｸﾛｰﾙ50(手袋)
UG045	魔法防御強化ｽｸﾛｰﾙ50(靴)
UG050	素早さ強化ｽｸﾛｰﾙ50(靴)
UG210	攻撃強化ｽｸﾛｰﾙ100(剣)
UG211	攻撃強化ｽｸﾛｰﾙ100(槍)
UG212	攻撃強化ｽｸﾛｰﾙ100(ﾅｲﾌ)
UG213	攻撃強化ｽｸﾛｰﾙ100(鈍器)
UG214	攻撃強化ｽｸﾛｰﾙ100(杖)
UG215	攻撃強化ｽｸﾛｰﾙ100(斧)
UG216	攻撃強化ｽｸﾛｰﾙ100(手袋)
UG217	攻撃強化ｽｸﾛｰﾙ100(鞭)
UG220	魔法攻撃強化ｽｸﾛｰﾙ100(杖)
UG221	魔法攻撃強化ｽｸﾛｰﾙ100(鈍器)
UG222	魔法攻撃強化ｽｸﾛｰﾙ100(手袋)
UG230	防御強化ｽｸﾛｰﾙ100(体)
UG231	防御強化ｽｸﾛｰﾙ100(盾)
UG232	防御強化ｽｸﾛｰﾙ100(頭)
UG233	防御強化ｽｸﾛｰﾙ100(ﾏﾝﾄ)
UG234	防御強化ｽｸﾛｰﾙ100(手袋)
UG235	防御強化ｽｸﾛｰﾙ100(靴)
UG240	魔法防御強化ｽｸﾛｰﾙ100(体)
UG241	魔法防御強化ｽｸﾛｰﾙ100(盾)
UG242	魔法防御強化ｽｸﾛｰﾙ100(頭)
UG243	魔法防御強化ｽｸﾛｰﾙ100(ﾏﾝﾄ)
UG244	魔法防御強化ｽｸﾛｰﾙ100(手袋)
UG245	魔法防御強化ｽｸﾛｰﾙ100(靴)
UG250	素早さ強化ｽｸﾛｰﾙ100(靴)
UG310	強さのｽｸﾛｰﾙ100(装飾)
UG311	素早さのｽｸﾛｰﾙ100(装飾)
UG312	知性のｽｸﾛｰﾙ100(装飾)
UG313	幸運のｽｸﾛｰﾙ100(装飾)
UG314	体力のｽｸﾛｰﾙ100(装飾)
UG315	精神のｽｸﾛｰﾙ100(装飾)
UG410	強さのｽｸﾛｰﾙ60(装飾)
UG411	素早さのｽｸﾛｰﾙ60(装飾)
UG412	知性のｽｸﾛｰﾙ60(装飾)
UG413	幸運のｽｸﾛｰﾙ60(装飾)
UG414	体力のｽｸﾛｰﾙ60(装飾)
UG415	精神のｽｸﾛｰﾙ60(装飾)
UG510	祝福の攻撃強化ｽｸﾛｰﾙ(剣)
UG511	祝福の攻撃強化ｽｸﾛｰﾙ(槍)
UG512	祝福の攻撃強化ｽｸﾛｰﾙ(ﾅｲﾌ)
UG513	祝福の攻撃強化ｽｸﾛｰﾙ(鈍器)
UG514	祝福の攻撃強化ｽｸﾛｰﾙ(杖)
UG515	祝福の攻撃強化ｽｸﾛｰﾙ(斧)
UG516	祝福の攻撃強化ｽｸﾛｰﾙ(手袋)
UG517	祝福の攻撃強化ｽｸﾛｰﾙ(鞭)
UG520	祝福の魔法攻撃強化ｽｸﾛｰﾙ(杖)
UG521	祝福の魔法攻撃強化ｽｸﾛｰﾙ(鈍器)
UG522	祝福の魔法攻撃強化ｽｸﾛｰﾙ(手袋)
UG530	祝福の防御強化ｽｸﾛｰﾙ(体)
UG531	祝福の防御強化ｽｸﾛｰﾙ(盾)
UG532	祝福の防御強化ｽｸﾛｰﾙ(頭)
UG533	祝福の防御強化ｽｸﾛｰﾙ(ﾏﾝﾄ)
UG534	祝福の防御強化ｽｸﾛｰﾙ(手袋)
UG535	祝福の防御強化ｽｸﾛｰﾙ(靴)
UG540	祝福の魔法防御強化ｽｸﾛｰﾙ(体)
UG541	祝福の魔法防御強化ｽｸﾛｰﾙ(盾)
UG542	祝福の魔法防御強化ｽｸﾛｰﾙ(頭)
UG543	祝福の魔法防御強化ｽｸﾛｰﾙ(ﾏﾝﾄ)
UG544	祝福の魔法防御強化ｽｸﾛｰﾙ(手袋)
UG545	祝福の魔法防御強化ｽｸﾛｰﾙ(靴)
UG610	破滅の攻撃強化ｽｸﾛｰﾙ(剣)
UG611	破滅の攻撃強化ｽｸﾛｰﾙ(槍)
UG612	破滅の攻撃強化ｽｸﾛｰﾙ(ﾅｲﾌ)
UG613	破滅の攻撃強化ｽｸﾛｰﾙ(鈍器)
UG614	破滅の攻撃強化ｽｸﾛｰﾙ(杖)
